ScaledScore,SS,T,z,Percentile
1,40,10,-4,0.003167124
1,41,10,-3.93,0.004247293
1,42,11,-3.87,0.005441768
1,43,12,-3.8,0.007234804
1,44,12,-3.73,0.009573989
1,45,13,-3.67,0.012127523
1,46,14,-3.6,0.015910859
1,47,14,-3.53,0.020777983
1,48,15,-3.47,0.026022918
1,49,16,-3.4,0.033692927
1,50,16,-3.33,0.043422992
1,51,17,-3.27,0.053773742
1,52,18,-3.2,0.068713794
1,53,18,-3.13,0.087403152
1,54,19,-3.07,0.107029385
1,55,20,-3,0.134989803
1,56,20,-2.93,0.169481002
1,57,21,-2.87,0.205235899
2,58,22,-2.8,0.255513033
2,59,22,-2.73,0.316671628
2,60,23,-2.67,0.379256235
2,61,24,-2.6,0.466118802
3,62,25,-2.53,0.570312633
3,63,25,-2.47,0.675565261
3,64,26,-2.4,0.819753592
3,65,27,-2.33,0.990307556
3,66,27,-2.27,1.160379152
3,67,28,-2.2,1.390344751
4,68,29,-2.13,1.658580668
4,69,29,-2.07,1.922617223
4,70,30,-2,2.275013195
4,71,31,-1.93,2.680341888
5,72,32,-1.87,3.074190893
5,73,32,-1.8,3.593031911
5,74,33,-1.73,4.181513761
5,75,33,-1.67,4.74596818
5,76,34,-1.6,5.47992917
5,77,34,-1.53,6.300836446
6,78,35,-1.47,7.078087699
6,79,36,-1.4,8.075665923
6,80,36,-1.33,9.175913565
6,81,37,-1.3,9.680048459
6,82,38,-1.23,10.93485524
6,83,38,-1.13,12.92381122
7,84,39,-1.07,14.23096544
7,85,40,-1,15.86552539
7,86,41,-0.93,17.61855422
7,87,41,-0.87,19.21502021
8,88,42,-0.8,21.18553986
8,89,42,-0.76,22.36272924
8,89,43,-0.71,23.88520681
8,90,43,-0.67,25.14288951
8,91,44,-0.6,27.42531178
8,92,44,-0.53,29.80559654
9,92,45,-0.5,30.85375387
9,93,45,-0.47,31.91775088
9,94,46,-0.4,34.45782584
9,95,46,-0.33,37.06999811
9,95,47,-0.31,37.82804782
9,96,47,-0.27,39.35801268
9,96,47,-0.25,40.12936743
9,96,47,-0.23,40.90458849
9,97,48,-0.2,42.07402906
9,97,48,-0.18,42.85762841
9,97,48,-0.15,44.03823076
9,98,48,-0.13,44.82832133
10,98,49,-0.1,46.01721627
10,99,49,-0.07,47.20968298
10,99,49,-0.05,48.00611942
10,99,49,-0.03,48.80335266
10,100,50,0,50
10,100,50,0.03,51.19664734
10,101,50,0.07,52.79031702
10,101,51,0.1,53.98278373
10,102,51,0.13,55.17167867
11,103,52,0.2,57.92597094
11,104,52,0.27,60.64198732
11,104,53,0.31,62.17195218
11,105,53,0.33,62.93000189
11,106,54,0.4,65.54217416
11,107,54,0.47,68.08224912
12,107,55,0.5,69.14624613
12,108,55,0.53,70.19440346
12,109,56,0.6,72.57468822
12,109,56,0.64,73.89137003
12,110,56,0.67,74.85711049
12,110,57,0.71,76.11479319
12,111,57,0.76,77.63727076
12,112,58,0.8,78.81446014
12,113,58,0.87,80.78497979
13,114,59,0.93,82.38144578
13,115,60,1,84.13447461
13,116,61,1.07,85.76903456
13,117,61,1.13,87.07618878
14,118,62,1.2,88.49303298
14,119,63,1.3,90.31995154
14,120,63,1.33,90.82408643
14,121,64,1.4,91.92433408
15,122,65,1.47,92.9219123
15,123,65,1.53,93.69916355
15,124,66,1.6,94.52007083
15,125,66,1.67,95.25403182
15,126,67,1.73,95.81848624
15,127,68,1.8,96.40696809
15,128,68,1.87,96.92580911
16,129,69,1.93,97.31965811
16,130,70,2,97.72498681
16,131,70,2.07,98.07738278
16,132,71,2.13,98.34141933
17,133,72,2.2,98.60965525
17,134,72,2.27,98.83962085
17,135,73,2.33,99.00969244
17,136,74,2.4,99.18024641
17,137,74,2.47,99.32443474
18,138,75,2.53,99.42968737
18,139,76,2.6,99.5338812
18,140,77,2.67,99.62074377
18,141,78,2.73,99.68332837
18,142,78,2.8,99.74448697
18,143,78,2.87,99.7947641
18,144,78,2.93,99.830519
19,145,80,3,99.8650102
19,146,80,3.07,99.89297061
19,147,81,3.13,99.91259685
19,148,81,3.2,99.93128621
19,149,82,3.27,99.94622626
19,150,83,3.33,99.95657701
